Cause,time,est,Risk,LiverRx,estRx,Stage,Age
HCC,1.6,0.05999999999999994,Low,0.2,0.04799999999999995,F2,55
HCC,2,0.08999999999999987,Low,0.2,0.07199999999999991,F2,55
HCC,2.4,0.11999999999999982,Low,0.2,0.09599999999999986,F2,55
HCC,2.8,0.12999999999999978,Low,0.2,0.10399999999999981,F2,55
HCC,3.2,0.12999999999999978,Low,0.2,0.10399999999999981,F2,55
HCC,3.6,0.15999999999999973,Low,0.2,0.12799999999999978,F2,55
HCC,4,0.1699999999999997,Low,0.2,0.13599999999999976,F2,55
HCC,4.4,0.19999999999999965,Low,0.2,0.15999999999999973,F2,55
HCC,4.8,0.20999999999999963,Low,0.2,0.16799999999999973,F2,55
HCC,5.2,0.2399999999999996,Low,0.2,0.19199999999999967,F2,55
HCC,5.6,0.25999999999999956,Low,0.2,0.20799999999999963,F2,55
HCC,6,0.2799999999999995,Low,0.2,0.22399999999999964,F2,55
HCC,6.4,0.2799999999999995,Low,0.2,0.22399999999999964,F2,55
HCC,6.8,0.30999999999999944,Low,0.2,0.2479999999999996,F2,55
HCC,7.2,0.3599999999999994,Low,0.2,0.28799999999999953,F2,55
HCC,7.6,0.37999999999999934,Low,0.2,0.3039999999999995,F2,55
HCC,8,0.40999999999999936,Low,0.2,0.32799999999999946,F2,55
HCC,8.4,0.4399999999999994,Low,0.2,0.35199999999999954,F2,55
HCC,8.8,0.45999999999999946,Low,0.2,0.36799999999999955,F2,55
HCC,9.2,0.45999999999999946,Low,0.2,0.36799999999999955,F2,55
HCC,9.6,0.47999999999999954,Low,0.2,0.3839999999999996,F2,55
HCC,10,0.47999999999999954,Low,0.2,0.3839999999999996,F2,55
Decompensation,0,0,Low,0.3,0,F2,55
Decompensation,0.4,0.09999999999999996,Low,0.3,0.06999999999999997,F2,55
Decompensation,0.8,0.1599999999999999,Low,0.3,0.11199999999999992,F2,55
Decompensation,1.2,0.20999999999999983,Low,0.3,0.14699999999999985,F2,55
Decompensation,1.6,0.30999999999999966,Low,0.3,0.21699999999999975,F2,55
Decompensation,2,0.3399999999999996,Low,0.3,0.2379999999999997,F2,55
Decompensation,2.4,0.3899999999999995,Low,0.3,0.27299999999999963,F2,55
Decompensation,2.8,0.4499999999999992,Low,0.3,0.3149999999999994,F2,55
Decompensation,3.2,0.4699999999999991,Low,0.3,0.32899999999999935,F2,55
Decompensation,3.6,0.5099999999999989,Low,0.3,0.3569999999999992,F2,55
Decompensation,4,0.5899999999999986,Low,0.3,0.412999999999999,F2,55
Decompensation,4.4,0.6599999999999986,Low,0.3,0.46199999999999897,F2,55
Decompensation,4.8,0.72999999999999865,Low,0.3,0.510999999999999,F2,55
Decompensation,5.2,0.7699999999999986,Low,0.3,0.5389999999999989,F2,55
Decompensation,5.6,0.7999999999999985,Low,0.3,0.5599999999999988,F2,55
Decompensation,6,0.8499999999999982,Low,0.3,0.5949999999999986,F2,55
Decompensation,6.4,0.8899999999999979,Low,0.3,0.6229999999999984,F2,55
Decompensation,6.8,0.9699999999999976,Low,0.3,0.6789999999999983,F2,55
Decompensation,7.2,1.0399999999999971,Low,0.3,0.727999999999998,F2,55
Decompensation,7.6,1.1199999999999968,Low,0.3,0.7839999999999977,F2,55
Decompensation,8,1.1799999999999964,Low,0.3,0.8259999999999974,F2,55
Decompensation,8.4,1.249999999999996,Low,0.3,0.8749999999999971,F2,55
Decompensation,8.8,1.3099999999999956,Low,0.3,0.9169999999999968,F2,55
Decompensation,9.2,1.399999999999995,Low,0.3,0.9799999999999965,F2,55
Decompensation,9.6,1.4599999999999946,Low,0.3,1.0219999999999962,F2,55
Decompensation,10,1.4899999999999944,Low,0.3,1.042999999999996,F2,55
HCC,0,0,Low,0.3,0,F2,55
HCC,0.4,0,Low,0.3,0,F2,55
HCC,0.8,0.029999999999999975,Low,0.3,0.02099999999999998,F2,55
HCC,1.2,0.04999999999999996,Low,0.3,0.03499999999999997,F2,55
HCC,1.6,0.05999999999999994,Low,0.3,0.04199999999999996,F2,55
HCC,2,0.08999999999999987,Low,0.3,0.06299999999999992,F2,55
HCC,2.4,0.11999999999999982,Low,0.3,0.08399999999999987,F2,55
HCC,2.8,0.12999999999999978,Low,0.3,0.09099999999999983,F2,55
HCC,3.2,0.12999999999999978,Low,0.3,0.09099999999999983,F2,55
HCC,3.6,0.15999999999999973,Low,0.3,0.1119999999999998,F2,55
HCC,4,0.1699999999999997,Low,0.3,0.11899999999999979,F2,55
HCC,4.4,0.19999999999999965,Low,0.3,0.13999999999999976,F2,55
HCC,4.8,0.20999999999999963,Low,0.3,0.14699999999999974,F2,55
HCC,5.2,0.2399999999999996,Low,0.3,0.1679999999999997,F2,55
HCC,5.6,0.25999999999999956,Low,0.3,0.18199999999999966,F2,55
HCC,6,0.2799999999999995,Low,0.3,0.19599999999999965,F2,55
HCC,6.4,0.2799999999999995,Low,0.3,0.19599999999999965,F2,55
HCC,6.8,0.30999999999999944,Low,0.3,0.2169999999999996,F2,55
HCC,7.2,0.3599999999999994,Low,0.3,0.25199999999999956,F2,55
HCC,7.6,0.37999999999999934,Low,0.3,0.2659999999999995,F2,55
HCC,8,0.40999999999999936,Low,0.3,0.28699999999999953,F2,55
HCC,8.4,0.4399999999999994,Low,0.3,0.3079999999999996,F2,55
HCC,8.8,0.45999999999999946,Low,0.3,0.3219999999999996,F2,55
HCC,9.2,0.45999999999999946,Low,0.3,0.3219999999999996,F2,55
HCC,9.6,0.47999999999999954,Low,0.3,0.3359999999999997,F2,55
HCC,10,0.47999999999999954,Low,0.3,0.3359999999999997,F2,55
Decompensation,0,0,Low,0.4,0,F2,55
Decompensation,0.4,0.09999999999999996,Low,0.4,0.05999999999999997,F2,55
Decompensation,0.8,0.1599999999999999,Low,0.4,0.09599999999999993,F2,55
Decompensation,1.2,0.20999999999999983,Low,0.4,0.12599999999999986,F2,55
Decompensation,1.6,0.30999999999999966,Low,0.4,0.18599999999999978,F2,55
Decompensation,2,0.3399999999999996,Low,0.4,0.20399999999999976,F2,55
Decompensation,2.4,0.3899999999999995,Low,0.4,0.2339999999999997,F2,55
Decompensation,2.8,0.4499999999999992,Low,0.4,0.2699999999999995,F2,55
Decompensation,3.2,0.4699999999999991,Low,0.4,0.2819999999999994,F2,55
Decompensation,3.6,0.5099999999999989,Low,0.4,0.30599999999999933,F2,55
Decompensation,4,0.5899999999999986,Low,0.4,0.35399999999999915,F2,55
Decompensation,4.4,0.6599999999999986,Low,0.4,0.39599999999999913,F2,55
Decompensation,4.8,0.72999999999999865,Low,0.4,0.4379999999999992,F2,55
Decompensation,5.2,0.7699999999999986,Low,0.4,0.46199999999999913,F2,55
Decompensation,5.6,0.7999999999999985,Low,0.4,0.4799999999999991,F2,55
Decompensation,6,0.8499999999999982,Low,0.4,0.5099999999999989,F2,55
Decompensation,6.4,0.8899999999999979,Low,0.4,0.5339999999999987,F2,55
Decompensation,6.8,0.9699999999999976,Low,0.4,0.5819999999999986,F2,55
Decompensation,7.2,1.0399999999999971,Low,0.4,0.6239999999999982,F2,55
Decompensation,7.6,1.1199999999999968,Low,0.4,0.671999999999998,F2,55
Decompensation,8,1.1799999999999964,Low,0.4,0.7079999999999977,F2,55
Decompensation,8.4,1.249999999999996,Low,0.4,0.7499999999999976,F2,55
Decompensation,8.8,1.3099999999999956,Low,0.4,0.7859999999999973,F2,55
Decompensation,9.2,1.399999999999995,Low,0.4,0.839999999999997,F2,55
Decompensation,9.6,1.4599999999999946,Low,0.4,0.8759999999999968,F2,55
Decompensation,10,1.4899999999999944,Low,0.4,0.8939999999999967,F2,55
HCC,0,0,Low,0.4,0,F2,55
HCC,0.4,0,Low,0.4,0,F2,55
HCC,0.8,0.029999999999999975,Low,0.4,0.017999999999999985,F2,55
HCC,1.2,0.04999999999999996,Low,0.4,0.029999999999999975,F2,55
HCC,1.6,0.05999999999999994,Low,0.4,0.03599999999999996,F2,55
HCC,2,0.08999999999999987,Low,0.4,0.05399999999999992,F2,55
HCC,2.4,0.11999999999999982,Low,0.4,0.07199999999999988,F2,55
HCC,2.8,0.12999999999999978,Low,0.4,0.07799999999999987,F2,55
HCC,3.2,0.12999999999999978,Low,0.4,0.07799999999999987,F2,55
HCC,3.6,0.15999999999999973,Low,0.4,0.09599999999999984,F2,55
HCC,4,0.1699999999999997,Low,0.4,0.10199999999999981,F2,55
HCC,4.4,0.19999999999999965,Low,0.4,0.1199999999999998,F2,55
HCC,4.8,0.20999999999999963,Low,0.4,0.12599999999999978,F2,55
HCC,5.2,0.2399999999999996,Low,0.4,0.14399999999999974,F2,55
HCC,5.6,0.25999999999999956,Low,0.4,0.15599999999999975,F2,55
HCC,6,0.2799999999999995,Low,0.4,0.1679999999999997,F2,55
HCC,6.4,0.2799999999999995,Low,0.4,0.1679999999999997,F2,55
HCC,6.8,0.30999999999999944,Low,0.4,0.18599999999999967,F2,55
HCC,7.2,0.3599999999999994,Low,0.4,0.2159999999999996,F2,55
HCC,7.6,0.37999999999999934,Low,0.4,0.2279999999999996,F2,55
HCC,8,0.40999999999999936,Low,0.4,0.2459999999999996,F2,55
HCC,8.4,0.4399999999999994,Low,0.4,0.2639999999999997,F2,55
HCC,8.8,0.45999999999999946,Low,0.4,0.2759999999999997,F2,55
HCC,9.2,0.45999999999999946,Low,0.4,0.2759999999999997,F2,55
HCC,9.6,0.47999999999999954,Low,0.4,0.2879999999999997,F2,55
HCC,10,0.47999999999999954,Low,0.4,0.2879999999999997,F2,55
Decompensation,0,0,Low,0.5,0,F2,55
Decompensation,0.4,0.09999999999999996,Low,0.5,0.04999999999999998,F2,55
Decompensation,0.8,0.1599999999999999,Low,0.5,0.07999999999999995,F2,55
Decompensation,1.2,0.20999999999999983,Low,0.5,0.10499999999999991,F2,55
Decompensation,1.6,0.30999999999999966,Low,0.5,0.15499999999999983,F2,55
Decompensation,2,0.3399999999999996,Low,0.5,0.1699999999999998,F2,55
Decompensation,2.4,0.3899999999999995,Low,0.5,0.19499999999999976,F2,55
Decompensation,2.8,0.4499999999999992,Low,0.5,0.2249999999999996,F2,55
Decompensation,3.2,0.4699999999999991,Low,0.5,0.23499999999999954,F2,55
Decompensation,3.6,0.5099999999999989,Low,0.5,0.25499999999999945,F2,55
Decompensation,4,0.5899999999999986,Low,0.5,0.2949999999999993,F2,55
Decompensation,4.4,0.6599999999999986,Low,0.5,0.3299999999999993,F2,55
Decompensation,4.8,0.72999999999999865,Low,0.5,0.3649999999999993,F2,55
Decompensation,5.2,0.7699999999999986,Low,0.5,0.3849999999999993,F2,55
Decompensation,5.6,0.7999999999999985,Low,0.5,0.39999999999999925,F2,55
Decompensation,6,0.8499999999999982,Low,0.5,0.4249999999999991,F2,55
Decompensation,6.4,0.8899999999999979,Low,0.5,0.44499999999999895,F2,55
Decompensation,6.8,0.9699999999999976,Low,0.5,0.4849999999999988,F2,55
Decompensation,7.2,1.0399999999999971,Low,0.5,0.5199999999999986,F2,55
